year,grouping,geography,geography_type,estimate,share
2020,Warehousing & Wholesale,North Tukwila,MIC (2022 RTP),,0
2020,Other Industrial,North Tukwila,MIC (2022 RTP),117,0.010321101
2020,Industrial,North Tukwila,MIC (2022 RTP),7944,0.700776288
2020,Non-industrial,North Tukwila,MIC (2022 RTP),3392,0.299223712
2020,Total,North Tukwila,MIC (2022 RTP),11336,1
2005,Construction,Paine Field/Boeing Everett,MIC (2022 RTP),556,0.018165186
2005,Manufacturing,Paine Field/Boeing Everett,MIC (2022 RTP),,0
2005,"Transportation, Distribution & Logistics (TDL)",Paine Field/Boeing Everett,MIC (2022 RTP),1741,0.056880554
2005,Warehousing & Wholesale,Paine Field/Boeing Everett,MIC (2022 RTP),,0
2005,Other Industrial,Paine Field/Boeing Everett,MIC (2022 RTP),1278,0.04175379
2005,Industrial,Paine Field/Boeing Everett,MIC (2022 RTP),27341,0.893263199
2005,Non-industrial,Paine Field/Boeing Everett,MIC (2022 RTP),3267,0.106736801
2005,Total,Paine Field/Boeing Everett,MIC (2022 RTP),30608,1
2010,Construction,Paine Field/Boeing Everett,MIC (2022 RTP),944,0.022270454
2010,Manufacturing,Paine Field/Boeing Everett,MIC (2022 RTP),,0
2010,"Transportation, Distribution & Logistics (TDL)",Paine Field/Boeing Everett,MIC (2022 RTP),1926,0.045437388
2010,Warehousing & Wholesale,Paine Field/Boeing Everett,MIC (2022 RTP),,0
2010,Other Industrial,Paine Field/Boeing Everett,MIC (2022 RTP),1168,0.027554968
2010,Industrial,Paine Field/Boeing Everett,MIC (2022 RTP),39319,0.927597433
2010,Non-industrial,Paine Field/Boeing Everett,MIC (2022 RTP),3069,0.072402567
2010,Total,Paine Field/Boeing Everett,MIC (2022 RTP),42388,1
2015,Construction,Paine Field/Boeing Everett,MIC (2022 RTP),1063,0.020766992
2015,Manufacturing,Paine Field/Boeing Everett,MIC (2022 RTP),,0
2015,"Transportation, Distribution & Logistics (TDL)",Paine Field/Boeing Everett,MIC (2022 RTP),1386,0.027077188
2015,Warehousing & Wholesale,Paine Field/Boeing Everett,MIC (2022 RTP),,0
2015,Other Industrial,Paine Field/Boeing Everett,MIC (2022 RTP),1292,0.025240784
2015,Industrial,Paine Field/Boeing Everett,MIC (2022 RTP),48322,0.944028757
2015,Non-industrial,Paine Field/Boeing Everett,MIC (2022 RTP),2865,0.055971243
2015,Total,Paine Field/Boeing Everett,MIC (2022 RTP),51187,1
2020,Construction,Paine Field/Boeing Everett,MIC (2022 RTP),1121,0.021910365
2020,Manufacturing,Paine Field/Boeing Everett,MIC (2022 RTP),,0
2020,"Transportation, Distribution & Logistics (TDL)",Paine Field/Boeing Everett,MIC (2022 RTP),1963,0.03836757
2020,Warehousing & Wholesale,Paine Field/Boeing Everett,MIC (2022 RTP),,0
2020,Other Industrial,Paine Field/Boeing Everett,MIC (2022 RTP),1613,0.031526689
2020,Industrial,Paine Field/Boeing Everett,MIC (2022 RTP),48455,0.947071126
2020,Non-industrial,Paine Field/Boeing Everett,MIC (2022 RTP),2708,0.052928874
2020,Total,Paine Field/Boeing Everett,MIC (2022 RTP),51163,1
2005,Construction,Port of Tacoma,MIC (2022 RTP),505,0.051087506
2005,Manufacturing,Port of Tacoma,MIC (2022 RTP),3930,0.397572079
2005,"Transportation, Distribution & Logistics (TDL)",Port of Tacoma,MIC (2022 RTP),2352,0.237936267
2005,Warehousing & Wholesale,Port of Tacoma,MIC (2022 RTP),1304,0.131917046
2005,Other Industrial,Port of Tacoma,MIC (2022 RTP),524,0.053009611
2005,Industrial,Port of Tacoma,MIC (2022 RTP),8615,0.871522509
2005,Non-industrial,Port of Tacoma,MIC (2022 RTP),1270,0.128477491
2005,Total,Port of Tacoma,MIC (2022 RTP),9885,1
2010,Construction,Port of Tacoma,MIC (2022 RTP),392,0.042341758
2010,Manufacturing,Port of Tacoma,MIC (2022 RTP),3073,0.331929142
2010,"Transportation, Distribution & Logistics (TDL)",Port of Tacoma,MIC (2022 RTP),2253,0.243357097
2010,Warehousing & Wholesale,Port of Tacoma,MIC (2022 RTP),1490,0.160941888
2010,Other Industrial,Port of Tacoma,MIC (2022 RTP),521,0.056275653
2010,Industrial,Port of Tacoma,MIC (2022 RTP),7729,0.834845539
2010,Non-industrial,Port of Tacoma,MIC (2022 RTP),1529,0.165154461
2010,Total,Port of Tacoma,MIC (2022 RTP),9258,1
2015,Construction,Port of Tacoma,MIC (2022 RTP),398,0.03987976
2015,Manufacturing,Port of Tacoma,MIC (2022 RTP),3462,0.346893788
2015,"Transportation, Distribution & Logistics (TDL)",Port of Tacoma,MIC (2022 RTP),2295,0.22995992
2015,Warehousing & Wholesale,Port of Tacoma,MIC (2022 RTP),1970,0.19739479
2015,Other Industrial,Port of Tacoma,MIC (2022 RTP),517,0.051803607
2015,Industrial,Port of Tacoma,MIC (2022 RTP),8642,0.865931864
2015,Non-industrial,Port of Tacoma,MIC (2022 RTP),1338,0.134068136
2015,Total,Port of Tacoma,MIC (2022 RTP),9980,1
2020,Construction,Port of Tacoma,MIC (2022 RTP),469,0.0475804
2020,Manufacturing,Port of Tacoma,MIC (2022 RTP),2487,0.252308004
2020,"Transportation, Distribution & Logistics (TDL)",Port of Tacoma,MIC (2022 RTP),2952,0.299482601
2020,Warehousing & Wholesale,Port of Tacoma,MIC (2022 RTP),1693,0.171756112
2020,Other Industrial,Port of Tacoma,MIC (2022 RTP),589,0.059754489
2020,Industrial,Port of Tacoma,MIC (2022 RTP),8189,0.830780156
2020,Non-industrial,Port of Tacoma,MIC (2022 RTP),1668,0.169219844
2020,Total,Port of Tacoma,MIC (2022 RTP),9857,1
2005,Construction,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),153,0.173272933
2005,Manufacturing,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),,0
2005,"Transportation, Distribution & Logistics (TDL)",Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),107,0.121177803
2005,Warehousing & Wholesale,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),,0
2005,Other Industrial,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),129,0.146092865
2005,Industrial,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),761,0.861834655
2005,Non-industrial,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),122,0.138165345
2005,Total,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),883,1
2010,Construction,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),153,0.173272933
2010,Manufacturing,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),,0
2010,"Transportation, Distribution & Logistics (TDL)",Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),107,0.121177803
2010,Warehousing & Wholesale,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),,0
2010,Other Industrial,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),129,0.146092865
2010,Industrial,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),761,0.861834655
2010,Non-industrial,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),122,0.138165345
2010,Total,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),883,1
2015,Construction,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),155,0.19375
2015,Manufacturing,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),,0
2015,"Transportation, Distribution & Logistics (TDL)",Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),0,0
2015,Warehousing & Wholesale,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),,0
2015,Other Industrial,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),104,0.13
2015,Industrial,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),718,0.8975
2015,Non-industrial,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),82,0.1025
2015,Total,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),800,1
2020,Construction,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),234,0.23877551
2020,Manufacturing,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),,0
2020,"Transportation, Distribution & Logistics (TDL)",Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),75,0.076530612
2020,Warehousing & Wholesale,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),,0
2020,Other Industrial,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),137,0.139795918
2020,Industrial,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),907,0.925510204
2020,Non-industrial,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),73,0.074489796
2020,Total,Puget Sound Industrial Center - Bremerton,MIC (2022 RTP),980,1
2005,Construction,Sumner-Pacific,MIC (2022 RTP),1968,0.343635411
2005,Manufacturing,Sumner-Pacific,MIC (2022 RTP),922,0.160991793
2005,"Transportation, Distribution & Logistics (TDL)",Sumner-Pacific,MIC (2022 RTP),624,0.108957569
2005,Warehousing & Wholesale,Sumner-Pacific,MIC (2022 RTP),1312,0.229090274
2005,Other Industrial,Sumner-Pacific,MIC (2022 RTP),137,0.023921774
2005,Industrial,Sumner-Pacific,MIC (2022 RTP),4964,0.866771434
2005,Non-industrial,Sumner-Pacific,MIC (2022 RTP),763,0.133228566
2005,Total,Sumner-Pacific,MIC (2022 RTP),5727,1
