year,center,Const/Res,FIRE,Manufacturing,Retail,Services,WTU,Government,Public Education,Total
2020,Seattle Downtown,3007,18943,2367,9834,132083,6726,23428,134,196524
2020,Seattle First Hill/Capitol Hill,91,1238,341,1994,34827,400,7194,1264,47350
2020,Seattle Northgate,140,693,44,1196,6137,84,2171,25,10491
2020,Seattle South Lake Union,1576,1551,S,S,17208,571,521,1,77260
2020,Seattle University Community,92,555,97,2855,6263,151,128,26088,36229
2020,Seattle Uptown,83,960,98,813,9598,1746,1353,38,14689
2020,Silverdale,83,670,19,2627,4945,67,154,449,9014
2020,Tacoma Downtown,387,3006,915,573,28492,514,3294,1494,38677
2020,Tacoma Mall,221,521,105,2804,3273,469,1663,19,9075
2020,Tukwila,842,397,2169,5363,7836,1616,424,0,18648
2020,University Place,135,262,40,774,2067,128,316,0,3723
2020,RGC Total,11694,44351,23190,110674,390412,30227,70817,31938,713302
2021,Auburn,16,118,143,259,1962,174,351,40,3062
2021,Bellevue,1246,6834,176,10705,33070,2622,1162,0,55815
2021,Bothell Canyon Park,234,1389,2961,820,5037,572,249,44,11306
2021,Bremerton,38,325,99,46,1423,36,14846,0,16813
2021,Burien,293,180,55,1414,2731,110,331,177,5290
2021,Everett,644,1071,351,653,4679,1030,3530,234,12193
2021,Federal Way,0,71,0,933,1474,7,0,0,2486
2021,Greater Downtown Kirkland,507,299,177,1129,8472,354,136,63,11138
2021,Issaquah,133,168,58,2033,8334,629,84,0,11439
2021,Kent,63,196,62,286,1795,28,1226,132,3789
2021,Kirkland Totem Lake,614,341,107,4220,5101,401,4942,464,16191
2021,Lakewood,S,475,S,1213,3162,S,267,0,5172
2021,Lynnwood,223,1114,80,4047,6423,278,149,0,12315
2021,Puyallup Downtown,138,121,S,S,S,S,241,457,S
2021,Puyallup South Hill,S,245,S,2337,2820,143,59,245,5918
2021,Redmond Downtown,142,457,89,847,7565,79,714,336,10228
2021,Redmond-Overlake,S,557,64,376,S,97,0,0,S
2021,Renton,505,653,S,636,2058,S,414,147,12695
2021,SeaTac,72,405,22,67,4624,9387,128,0,14705
2021,Seattle Downtown,3034,18940,1755,6654,114555,5460,23163,82,173644
2021,Seattle First Hill/Capitol Hill,88,1186,266,1734,31551,372,7100,816,43114
2021,Seattle Northgate,133,760,41,1116,5588,71,2127,30,9864
2021,Seattle South Lake Union,1925,1440,S,S,16037,599,370,0,76821
2021,Seattle University Community,98,551,71,2479,4673,197,486,26116,34671
2021,Seattle Uptown,35,952,73,816,7810,1217,1245,34,12182
2021,Silverdale,93,648,17,2573,4228,75,143,332,8109
2021,Tacoma Downtown,400,2860,1024,632,25567,491,3627,1373,35973
2021,Tacoma Mall,300,517,86,2913,3318,426,1577,19,9157
2021,Tukwila,735,414,2058,5345,6235,1377,398,0,16562
2021,University Place,174,281,43,767,1857,122,325,0,3569
2021,RGC Total,12010,43568,18500,113279,349822,26522,69392,31143,664234
2022,Auburn,22,110,140,251,2176,222,382,39,3342
2022,Bellevue,1262,7232,161,4500,43320,3412,1181,0,61068
2022,Bothell Canyon Park,237,1285,3401,675,5256,703,243,50,11851
2022,Bremerton,52,293,184,62,1631,55,14120,0,16397
2022,Burien,293,192,67,1480,3060,127,358,184,5760
2022,Everett,743,1004,512,703,5185,1057,3588,262,13055
2022,Federal Way,0,64,0,957,1682,8,0,0,2711
2022,Greater Downtown Kirkland,406,306,173,1090,10239,414,130,68,12826
2022,Issaquah,121,182,66,2049,8752,645,28,0,11844
2022,Kent,63,208,61,282,1930,26,1235,147,3952
2022,Kirkland Totem Lake,708,388,82,1721,5228,806,5012,458,14403
2022,Lakewood,S,381,S,1237,3288,S,292,0,5324
2022,Lynnwood,282,1097,90,4407,7448,265,172,0,13761
2022,Puyallup Downtown,140,110,S,176,S,S,287,488,S
2022,Puyallup South Hill,S,374,S,2383,3293,205,67,234,6648
